input_name,query_used,param,matched_name,ticker,exchange,cik,http_status,endpoint_used,source
Prudential Financial,Prudential Financial,q,N/A,N/A,N/A,,ERR,,none
China Merchants Bank,China Merchants Bank,q,N/A,N/A,N/A,,ERR,,none
Petronas,Petronas,q,N/A,N/A,N/A,,ERR,,none
Alimentation Couche-Tard,Alimentation Couche-Tard,q,N/A,N/A,N/A,,ERR,,none
Lenovo Group,Lenovo Group,q,N/A,N/A,N/A,,ERR,,none
Korea Electric Power,Korea Electric Power,q,N/A,N/A,N/A,,ERR,,none
Toyota Tsusho,Toyota Tsusho,q,N/A,N/A,N/A,,ERR,,none
China Poly Group,China Poly Group,q,N/A,N/A,N/A,,ERR,,none
Wilmar International,Wilmar International,q,N/A,N/A,N/A,,ERR,,none
Beijing Automotive Group,Beijing Automotive Group,q,N/A,N/A,N/A,,ERR,,none
Munich Re Group,Munich Re Group,q,N/A,N/A,N/A,,ERR,,none
Aluminum Corp. of China,Aluminum Corp. of China,q,N/A,N/A,N/A,,ERR,,none
Sumitomo Mitsui Financial Group,Sumitomo Mitsui Financial Group,q,N/A,N/A,N/A,,ERR,,none
Itau Unibanco Holding,Itau Unibanco Holding,q,N/A,N/A,N/A,,ERR,,none
Boeing,Boeing,q,N/A,N/A,N/A,,ERR,,none
AEON,AEON,q,N/A,N/A,N/A,,ERR,,none
Xiamen ITG Holding Group,Xiamen ITG Holding Group,q,N/A,N/A,N/A,,ERR,,none
Zurich Insurance Group,Zurich Insurance Group,q,N/A,N/A,N/A,,ERR,,none
Unilever,Unilever,q,N/A,N/A,N/A,,ERR,,none
Accenture,Accenture,q,N/A,N/A,N/A,,ERR,,none
COSCO Shipping,COSCO Shipping,q,N/A,N/A,N/A,,ERR,,none
Caterpillar,Caterpillar,q,N/A,N/A,N/A,,ERR,,none
Dai-ichi Life Holdings,Dai-ichi Life Holdings,q,N/A,N/A,N/A,,ERR,,none
LG Electronics,LG Electronics,q,N/A,N/A,N/A,,ERR,,none
Hitachi,Hitachi,q,N/A,N/A,N/A,,ERR,,none
Merck,Merck,q,N/A,N/A,N/A,,ERR,,none
Allstate,Allstate,q,N/A,N/A,N/A,,ERR,,none
Pfizer,Pfizer,q,N/A,N/A,N/A,,ERR,,none
Zhejiang Hengyi Group,Zhejiang Hengyi Group,q,N/A,N/A,N/A,,ERR,,none
IBM,IBM,q,N/A,N/A,N/A,,ERR,,none
New York Life Insurance,New York Life Insurance,q,N/A,N/A,N/A,,ERR,,none
ArcelorMittal,ArcelorMittal,q,N/A,N/A,N/A,,ERR,,none
Assicurazioni Generali,Assicurazioni Generali,q,N/A,N/A,N/A,,ERR,,none
Delta Air Lines,Delta Air Lines,q,N/A,N/A,N/A,,ERR,,none
China North Industries Group,China North Industries Group,q,N/A,N/A,N/A,,ERR,,none
Bouygues,Bouygues,q,N/A,N/A,N/A,,ERR,,none
China Energy Engineering Group,China Energy Engineering Group,q,N/A,N/A,N/A,,ERR,,none
Renault,Renault,q,N/A,N/A,N/A,,ERR,,none
Banco do Brasil,Banco do Brasil,q,N/A,N/A,N/A,,ERR,,none
Publix Super Markets,Publix Super Markets,q,N/A,N/A,N/A,,ERR,,none
Anheuser-Busch InBev,Anheuser-Busch InBev,q,N/A,N/A,N/A,,ERR,,none
Chery Holding Group,Chery Holding Group,q,N/A,N/A,N/A,,ERR,,none
Mizuho Financial Group,Mizuho Financial Group,q,N/A,N/A,N/A,,ERR,,none
Jinchuan Group,Jinchuan Group,q,N/A,N/A,N/A,,ERR,,none
Nationwide,Nationwide,q,N/A,N/A,N/A,,ERR,,none
Edeka Zentrale,Edeka Zentrale,q,N/A,N/A,N/A,,ERR,,none
Daimler Truck Holding,Daimler Truck Holding,q,N/A,N/A,N/A,,ERR,,none
TD Synnex,TD Synnex,q,N/A,N/A,N/A,,ERR,,none
Bank of Montreal,Bank of Montreal,q,N/A,N/A,N/A,,ERR,,none
XMXYG,XMXYG,q,N/A,N/A,N/A,,ERR,,none
Industrial Bank,Industrial Bank,q,N/A,N/A,N/A,,ERR,,none
United Airlines Holdings,United Airlines Holdings,q,N/A,N/A,N/A,,ERR,,none
Nippon Steel,Nippon Steel,q,N/A,N/A,N/A,,ERR,,none
ConocoPhillips,ConocoPhillips,q,N/A,N/A,N/A,,ERR,,none
Midea Group,Midea Group,q,N/A,N/A,N/A,,ERR,,none
Tsingshan Holding Group,Tsingshan Holding Group,q,N/A,N/A,N/A,,ERR,,none
TJX,TJX,q,N/A,N/A,N/A,,ERR,,none
AbbVie,AbbVie,q,N/A,N/A,N/A,,ERR,,none
Enterprise Products Partners,Enterprise Products Partners,q,N/A,N/A,N/A,,ERR,,none
China Pacific Insurance (Group),China Pacific Insurance (Group),q,N/A,N/A,N/A,,ERR,,none
Guangzhou Automobile Industry Group,Guangzhou Automobile Industry Group,q,N/A,N/A,N/A,,ERR,,none
Bank of Nova Scotia,Bank of Nova Scotia,q,N/A,N/A,N/A,,ERR,,none
