input_name,query_used,param,matched_name,ticker,exchange,cik,http_status
Shaanxi Yanchang Petroleum (Group),Shaanxi Yanchang Petroleum (Group),q,N/A,N/A,N/A,,200
Deutsche Bahn,Deutsche Bahn,q,N/A,N/A,N/A,,200
Xiaomi,Xiaomi,q,N/A,N/A,N/A,,200
Cr�dit Mutuel Group,Cr�dit Mutuel Group,q,N/A,N/A,N/A,,200
Louis Dreyfus,Louis Dreyfus,q,N/A,N/A,N/A,,200
Liberty Mutual Insurance Group,Liberty Mutual Insurance Group,q,N/A,N/A,N/A,,200
Bayer,Bayer,q,N/A,N/A,N/A,,200
Saint-Gobain,Saint-Gobain,q,N/A,N/A,N/A,,200
Contemporary Amperex Technology,Contemporary Amperex Technology,q,N/A,N/A,N/A,,200
Plains GP Holdings,Plains GP Holdings,q,N/A,N/A,N/A,,200
Talanx,Talanx,q,N/A,N/A,N/A,,200
UniCredit Group,UniCredit Group,q,N/A,N/A,N/A,,200
Volvo,Volvo,q,N/A,N/A,N/A,,200
HD Hyundai,HD Hyundai,q,N/A,N/A,N/A,,200
Shanghai Pudong Development Bank,Shanghai Pudong Development Bank,q,N/A,N/A,N/A,,200
USAA,USAA,q,N/A,N/A,N/A,,200
SK Hynix,SK Hynix,q,N/A,N/A,N/A,,200
Iberdrola,Iberdrola,q,N/A,N/A,N/A,,200
Veolia Environnement,Veolia Environnement,q,N/A,N/A,N/A,,200
Bristol-Myers Squibb,Bristol-Myers Squibb,q,N/A,N/A,N/A,,200
Landesbank Baden-Wurttemberg,Landesbank Baden-Wurttemberg,q,N/A,N/A,N/A,,200
Ingram Micro Holding,Ingram Micro Holding,q,N/A,N/A,N/A,,200
Sumitomo,Sumitomo,q,N/A,N/A,N/A,,200
General Dynamics,General Dynamics,q,N/A,N/A,N/A,,200
China Vanke,China Vanke,q,N/A,N/A,N/A,,200
SoftBank Group,SoftBank Group,q,N/A,N/A,N/A,,200
America Movil,America Movil,q,N/A,N/A,N/A,,200
Canadian Imperial Bank of Commerce,Canadian Imperial Bank of Commerce,q,N/A,N/A,N/A,,200
Coca-Cola,Coca-Cola,q,N/A,N/A,N/A,,200
L'Or�al,L'Or�al,q,N/A,N/A,N/A,,200
Denso,Denso,q,N/A,N/A,N/A,,200
TIAA,TIAA,q,N/A,N/A,N/A,,200
Meituan,Meituan,q,N/A,N/A,N/A,,200
SNCF Group,SNCF Group,q,N/A,N/A,N/A,,200
Travelers,Travelers,q,N/A,N/A,N/A,,200
Zhejiang Communications Investment Group,Zhejiang Communications Investment Group,q,N/A,N/A,N/A,,200
Swiss Re,Swiss Re,q,N/A,N/A,N/A,,200
China South Industries Group,China South Industries Group,q,N/A,N/A,N/A,,200
Raizen,Raizen,q,N/A,N/A,N/A,,200
Taikang Insurance Group,Taikang Insurance Group,q,N/A,N/A,N/A,,200
Ingka Group,Ingka Group,q,N/A,N/A,N/A,,200
Eli Lilly,Eli Lilly,q,N/A,N/A,N/A,,200
ACS,ACS,q,N/A,N/A,N/A,,200
Susun Construction Group,Susun Construction Group,q,N/A,N/A,N/A,,200
China Huadian,China Huadian,q,N/A,N/A,N/A,,200
George Weston,George Weston,q,N/A,N/A,N/A,,200
Orange,Orange,q,N/A,N/A,N/A,,200
ZF Friedrichshafen,ZF Friedrichshafen,q,N/A,N/A,N/A,,200
Telefonica,Telefonica,q,N/A,N/A,N/A,,200
Tokyo Electric Power,Tokyo Electric Power,q,N/A,N/A,N/A,,200
Woolworths Group,Woolworths Group,q,N/A,N/A,N/A,,200
Vodafone Group,Vodafone Group,q,N/A,N/A,N/A,,200
Uber Technologies,Uber Technologies,q,N/A,N/A,N/A,,200
Quanta Computer,Quanta Computer,q,N/A,N/A,N/A,,200
Fomento Econ�mico Mexicano,Fomento Econ�mico Mexicano,q,N/A,N/A,N/A,,200
MS&AD Insurance Group Holdings,MS&AD Insurance Group Holdings,q,N/A,N/A,N/A,,200
China National Building Material Group,China National Building Material Group,q,N/A,N/A,N/A,,200
Sinomach,Sinomach,q,N/A,N/A,N/A,,200
DZ Bank,DZ Bank,q,N/A,N/A,N/A,,200
